routine;undefined;condition;routine_tims_ms
Write data;-;default;3774.86
Write data;-;default;3785.851
Write data;-;default;3797.305
Write data;-;default;3808.321
Write data;-;default;3819.333
Write data;-;default;3830.624
Write data;-;default;3841.953
Write data;-;default;3853.477
Write data;-;default;3863.71
Write data;-;default;3875.222
Write data;-;default;3886.175
Write data;-;default;3897.052
Write data;-;default;3908.087
Write data;-;default;3919.135
Write data;-;default;3930.805
Write data;-;default;3941.682
Write data;-;default;3952.746
Write data;-;default;3964.029
Write data;-;default;3975.028
Write data;-;default;3986.004
Write data;-;default;3997.454
Write data;-;default;4008.163
Write data;-;default;4019.272
Write data;-;default;4030.229
Write data;-;default;4041.867
Write data;-;default;4053.354
Write data;-;default;4063.546
Write data;-;default;4075.188
Write data;-;default;4086.227
Write data;-;default;4097.136
Write data;-;default;4108.173
Write data;-;default;4119.202
Write data;-;default;4130.574
Write data;-;default;4141.474
Write data;-;default;4153.874
Write data;-;default;4163.978
Write data;-;default;4174.984
Write data;-;default;4186.048
Write data;-;default;4197.28
Write data;-;default;4208.321
Write data;-;default;4219.32
Write data;-;default;4230.958
Write data;-;default;4244.231
Write data;-;default;4253.723
Write data;-;default;4263.686
Write data;-;default;4275.134
Write data;-;default;4286.31
Write data;-;default;4297.238
Write data;-;default;4308.214
Write data;-;default;4319.322
Write data;-;default;4330.671
Write data;-;default;4343.351
Write data;-;default;4353.47
Write data;-;default;4363.979
Write data;-;default;4374.876
Write data;-;default;4385.867
Write data;-;default;4397.339
Write data;-;default;4408.272
Write data;-;default;4419.604
Write data;-;default;4430.471
Write data;-;default;4443.403
Write data;-;default;4454.517
Write data;-;default;4464.202
Write data;-;default;4475.073
Write data;-;default;4486.412
Write data;-;default;4497.493
Write data;-;default;4508.346
Write data;-;default;4519.279
Write data;-;default;4530.593
Write data;-;default;4541.554
Write data;-;default;4553.675
Write data;-;default;4568.913
Write data;-;default;4574.641
Write data;-;default;4586.238
Write data;-;default;4597.315
Write data;-;default;4608.276
Write data;-;default;4619.383
Write data;-;default;4630.68
Write data;-;default;4641.722
Write data;-;default;4654.303
Write data;-;default;4664.345
Write data;-;default;4674.978
